,GDP,TAXES
0,164313.03,17622.984
1,29588.973,2323.4978
2,21356.04,1472.5848
3,48926.074,6069.725
4,335216.8,27954.004
5,72555.86,7526.224
6,190876.38,16651.42
7,41484.84,4319.0703
8,30690.623,2767.6262
9,430596.88,341242.34
10,969719.6,280426.3
11,3240140.5,451508.03
12,417926.1,77626.91
13,40688.42,2737.0293
14,114435.65,30823.947
15,49478.39,5388.2437
16,196086.23,21134.625
17,51040.715,5880.822
18,14881.723,1196.3131
19,194928.36,63526.46
20,100986.3,8908.71
21,79335.92,11054.122
22,26108.299,2221.7292
23,53734.44,2639.371
24,14163.069,525.0885
25,16125.523,1364.0087
26,1133990.2,299920.38
27,14211.233,1091.7798
28,710458.44,127255.97
29,112732.26,11209.834
30,232632.11,15109.074
31,15939.321,1001.6769
32,81441.68,6656.03
33,137239.7,9694.221
34,79817.51,6530.1016
35,36406.52,3663.154
36,112421.39,21599.803
37,31722.895,2733.7288
38,279866.2,148927.06
39,74114.89,9283.3
40,62341.59,8693.08
41,39495.934,2367.7756
42,160380.67,5571.4883
43,123190.74,2698.7808
44,54259.656,1008.5632
45,18576.455,1101.1785
46,22342.564,1142.5392
47,71181.16,3468.1467
48,29652.13,1209.4242
49,38201.746,3458.0876
50,52831.016,4278.5645
51,26589.594,569.8295
52,5370801.5,1274557.9
53,60042.676,5990.689
54,35737.09,3571.1653
55,21057.703,1701.2382
56,1843362.2,409528.1
57,57524.38,3807.6082
58,4222205.0,191821.38
59,92753.33,24772.373
60,89251.18,14895.159
61,512924.5,40460.11
62,185169.12,60943.965
63,455004.53,108271.805
64,40748.91,3578.2576
65,468491.28,217894.78
66,80872.46,7164.734
67,159509.98,15147.843
68,93665.17,3802.9058
69,103977.91,17268.387
70,636512.25,40271.707
71,48839.773,5939.199
72,9023.855,483.8144
73,435018.62,344312.66
74,159313.25,27338.354
75,94725.34,10746.515
76,13990.4,940.51355
77,1032408.7,464020.12
78,51470.324,1058.1392
79,846715.9,441580.62
80,101491.39,7505.4863
81,89203.766,14225.174
82,191371.4,38624.133
83,29998.062,2591.4963
84,85793.71,7640.042
85,33923.855,1339.6365
86,162672.17,36668.723
87,15859.387,1120.4167
88,49864.074,1789.5466
89,61730.754,4711.947
90,94152.56,2966.9082
91,40821.633,3317.4792
92,21652.658,1788.4446
93,22008.688,458.17862
94,139638.83,42374.004
95,74708.61,6177.2485
96,34246.86,2549.2397
97,72318.766,1582.7622
98,28502.416,1632.88
99,36072.65,2874.9802
100,68465.02,5877.036
101,58828.53,2857.5942
102,388083.66,263229.06
103,627960.25,461933.94
104,48450.734,5019.6763
105,96213.56,13671.032
106,55297.723,5534.1123
107,46057.363,3983.596
108,237243.62,55514.777
109,118523.61,12051.626
110,44630.473,5451.1914
111,189430.78,40277.41
112,31618.229,2723.5322
113,634685.25,96723.24
114,101597.195,7579.051
115,88842.41,20721.355
116,93577.484,18887.959
117,24805.96,1958.8245
118,17599.664,1228.764
119,2350862.8,73481.02
120,9988.67,363.6521
121,88150.2,13816.029
122,807671.3,252751.5
123,86040.3,1730.364
124,191011.6,23669.152
125,76054.76,11080.746
126,359156.75,75362.42
127,90241.875,15850.509
128,84466.38,6421.6904
129,21795.316,1749.3253
130,21822.207,595.4939
131,119267.83,43745.754
132,125592.375,13083.718
133,32585.389,2698.7942
134,156728.5,7688.276
135,36604.08,2916.592
136,187365.78,95119.82
137,40491.84,3326.136
138,103157.92,23355.574
139,50211.18,4017.6333
140,95374.67,7406.246
141,367837.66,46471.2
142,1096350.5,34690.02
143,498798.44,84217.93
144,106446.08,5998.716
145,40134.516,2158.7095
146,3441157.5,199614.19
147,180671.97,85383.805
148,87556.02,11478.535
149,190867.36,46610.547
150,27517.293,2169.5159
151,29032.818,2155.505
152,40967.516,3384.0708
153,28663.85,2256.6533
154,88815.78,11834.845
155,45701.074,425.7386
156,121427.41,29192.512
157,63673.664,9303.815
158,7016012.0,1236688.6
159,420679.12,59892.95
160,73697.96,9353.296
161,70384.875,5772.735
162,79692.64,16203.757
163,238499.86,64918.133
164,30798.88,2538.973
165,2594908.8,315718.8
166,439883.56,197340.0
167,91491.74,9561.378
168,248645.05,44286.195
169,386039.94,41728.598
170,60014.004,5568.0728
171,20597.574,1626.3993
172,55595.598,3718.1633
173,248876.94,47988.805
174,99935.9,22741.354
175,10054751.0,2228278.8
176,23623.924,1747.6061
177,102203.26,18036.951
178,22075.92,1804.0199
179,58183.02,8125.4917
180,161188.5,27304.305
181,71927.34,6260.6772
182,96698.93,12388.25
183,56566.918,4592.925
184,103303.0,19413.254
185,114870.95,39766.105
186,98234.766,6625.2827
187,23082.744,1161.132
188,549046.6,202018.14
189,59730.676,4902.682
190,14497.418,1067.3098
191,6077564.0,768592.1
192,101345.41,22813.729
193,725401.6,225717.73
194,47636.242,3237.4468
195,116865.44,18383.377
196,56508.133,4513.675
197,91035.62,5573.03
198,16527.889,686.58185
199,46742.41,3697.7527
200,45682.01,4094.7034
201,57953.18,5634.4883
202,106034.43,16520.723
203,47569.24,5788.9043
204,12160.939,703.3335
205,44055.105,4634.4067
206,81780.66,10925.364
207,10243.288,585.2772
208,21098.18,1512.0093
209,105324.89,6196.7446
210,49720.13,5154.9307
211,96799.95,26961.271
212,16519.543,776.77844
213,113550.27,7106.964
214,467279.94,18678.615
215,37651.996,2995.3418
216,149438.28,58718.504
217,107530.77,29058.746
218,145406.5,22804.086
219,72117.05,6332.232
220,288715.88,163100.84
221,1356348.9,138450.94
222,18680.297,1575.3108
223,157339.38,26225.69
224,331968.0,38832.492
225,41586.81,3755.0354
226,1281712.0,104207.4
227,53455.574,4435.335
228,24127.885,2087.7537
229,817496.8,468603.4
230,3668760.8,1084483.6
231,75922.1,4283.142
232,73942.25,9273.983
233,5012195.0,386253.22
234,1895048.5,521773.0
235,48923.336,940.94995
236,116007.49,25267.992
237,30346.1,2527.6511
238,107542.58,12285.266
239,69117.445,11364.481
240,96967.914,28247.324
241,1254237.0,847537.2
242,23008.076,1580.1039
243,25316.783,2009.5482
244,254279.92,62754.945
245,41129.09,2485.697
246,14952.739,1087.5487
247,79509.37,11730.02
248,109276.8,32080.338
249,89112.625,11832.792
250,11091.665,798.07825
251,73322.49,9300.139
252,63626.91,1599.0321
253,87325.51,8553.812
254,151550.45,23222.635
255,79792.805,11696.235
256,12763.251,866.3057
257,10299.925,374.17545
258,80254.516,14499.296
259,29634.264,2828.3867
260,1078859.0,36694.617
261,2728821.2,1078793.9
262,35754.594,2846.9326
263,72110.63,13376.406
264,165529.14,41999.15
265,13838.21,585.5646
266,31637.12,1813.9587
267,546307.6,25128.055
268,86095.11,18813.346
269,70164.82,7148.967
270,1738864.9,176453.66
271,15454.907,819.42303
272,99146.92,7485.0156
273,20008.617,812.2481
274,38342.01,3504.6013
275,82694.234,15099.107
276,32699.107,2602.447
277,15071.033,1036.324
278,34019.863,2813.0952
279,56022.63,6392.8403
280,8855.589,527.9083
281,1797586.1,74490.33
282,80915.09,7541.5723
283,46647.664,3480.044
284,58003.215,7436.2847
285,41167.355,4662.258
286,19717.41,1410.4116
287,29852.213,1379.6853
288,68586.086,6694.1035
289,183112.78,11822.598
290,16898.885,1294.7849
291,28587.914,2705.3462
292,22571.873,1850.8062
293,177727.42,22788.018
294,62018.12,5098.9824
295,109528.57,28070.693
296,54289.75,6596.351
297,202250.72,36329.254
298,55118.543,7182.8535
299,151854.44,27171.88
300,41807.203,4518.0854
301,49514.965,2872.9795
302,75272.28,11942.101
303,39225.613,3334.0793
304,118181.84,13688.892
305,342760.9,55268.164
306,49431.152,4421.3535
307,98789.86,27857.582
308,115184.164,38013.8
309,21952.865,1519.5492
310,169873.23,22684.768
311,184326.92,9716.177
312,42269.27,3508.1587
313,4294849.0,178238.44
314,23114.473,1856.6985
315,191856.77,4372.7817
316,58206.66,5553.639
317,56830.434,7052.032
318,17081.812,682.5337
319,14478.646,1053.1143
320,35395.168,2796.438
321,105876.09,16485.117
322,143943.22,46841.516
323,42544.207,4282.9966
324,83078.734,10783.842
325,23350.703,1852.0187
326,94931.08,25819.834
327,918368.5,212997.44
328,1754086.4,151418.89
329,26700.822,675.3654
330,648406.25,259095.44
331,89521.664,21737.506
332,49029.11,6083.042
333,71814.34,5874.949
334,94862.0,6653.5015
335,15241.534,1306.8593
336,31086.125,1024.5942
337,109800.086,11425.135
338,44094.543,5450.336
339,9591.334,291.0316
340,1776612.8,618514.5
341,228593.11,8050.2993
342,61899.55,8631.304
343,17065.86,1462.1963
344,668243.8,34950.562
345,75752.66,5567.275
346,33754.062,3143.9792
347,42884.457,2173.605
348,58534.28,4210.4326
349,135563.42,1382.5984
350,46216.73,2601.1902
351,1495668.0,30225.957
352,106126.2,7834.646
353,42646.535,4256.432
354,147605.38,14991.37
355,81058.62,15223.689
356,14523.642,1157.1941
357,199742.66,10901.495
358,213036.5,4403.1675
359,32121.611,2732.9695
360,73443.76,9724.422
361,145281.08,8910.069
362,43847.07,5240.1265
363,22852.938,1835.5231
364,514518.5,325738.34
365,46743.695,5295.0874
366,15530.45,449.22772
367,74692.04,3085.117
368,58733.594,6758.4795
369,32298.578,2620.7483
370,165206.67,48852.43
371,99840.266,9076.335
372,116619.08,16936.406
