,IBGE_RES_POP,TAXES
0,18376.13,108225.81
1,1911.698,357.366
2,14827.916,41005.992
3,6407.33,3267.7268
4,76633.805,15027.362
5,32601.742,68676.66
6,44078.86,5370.303
7,8998.621,2542.442
8,9462.134,10139.004
9,2164.0288,991.15466
10,16514.338,71083.3
11,5679.045,4803.277
12,6138.7773,15322.19
13,16444.299,15767.608
14,4574.3267,6248.3403
15,21086.947,11979.317
16,15697.34,10321.129
17,61810.785,11446.442
18,1915.4473,676.1192
19,66879.14,585306.2
20,11826.129,39477.117
21,16655.021,5050.8486
22,2039.4323,643.9154
23,49507.52,74527.8
24,1933.6852,583.91235
25,21424.406,36556.645
26,7374.714,8351.053
27,21182.668,134068.27
28,13168.242,3417.765
29,6028.99,8809.283
30,8485.419,10865.98
31,3934.274,1746.3124
32,17997.525,81989.96
33,3632.706,2032.3663
34,3946.4614,5005.799
35,3680.2712,4266.9414
36,7501.1943,1830.1481
37,6356.365,7062.466
38,7168.1562,25276.094
39,3476.704,3619.1484
40,3044.5552,1765.2953
41,17360.893,66442.484
42,6766.3833,22239.16
43,4821.887,1326.6016
44,6810.855,483.2007
45,4956.8325,5178.052
46,50149.855,408704.72
47,3086.6755,2340.0854
48,34954.363,151648.16
49,40908.77,27379.086
50,13695.13,6568.461
51,6570.0337,7294.954
52,3876.1248,2882.604
53,2230.4844,1125.7146
54,3404.2002,1329.388
55,6727.54,13672.113
56,4088.9482,503.05264
57,6031.483,12906.001
58,12230.073,10325.935
59,3691.0718,726.9025
60,8366.118,14064.42
61,3186.0476,2804.057
62,5459.4453,5904.9395
63,2610.6062,1261.19
64,4729.8086,5062.241
65,11095.696,6341.0156
66,9819.762,3642.0112
67,2104.5742,909.1825
68,3711.0933,612.11035
69,9546.053,39177.707
70,11537.364,52509.137
71,2486.647,1319.0962
72,3680.2188,4187.922
73,4816.9766,4500.6724
74,11349.941,46253.28
75,4016.9805,1481.162
76,13317.89,11962.533
77,3084.0298,2022.3651
78,3652.892,4052.9248
79,11850.643,47024.19
80,17886.164,24346.79
81,2618.2332,504.49823
82,7599.295,8748.376
83,9283.789,37333.46
84,2335.7024,1263.2944
85,48450.2,290991.97
86,4578.128,2291.2495
87,10744.332,16055.598
88,36931.473,288941.34
89,48785.59,224109.64
90,16023.951,68094.83
91,2529.329,1647.3862
92,74384.81,735867.06
93,18898.725,49603.387
94,2713.0266,1655.3732
95,4493.599,3038.7627
96,6038.9644,9232.167
97,4798.264,8904.7
98,2340.052,1371.2373
99,13715.535,1156.721
100,17908.959,85953.15
101,10648.874,26639.184
102,93861.18,8287.593
103,5894.7563,16990.588
104,18115.922,18222.77
105,5420.1484,3307.2688
